Dataset,Method,Second,Minute,SecondTotal,MinuteTotal,MaxCard,DatasetPath
data,firstPass,9,0,9,0,true,/home/user/shape-discovery-survey/work/cckg/data.nt
data,secondPhase,15,0,24,0,true,/home/user/shape-discovery-survey/work/cckg/data.nt
data,computeSupportConfidence,3,0,27,0,true,/home/user/shape-discovery-survey/work/cckg/data.nt
data,0.1_100,0,0,27,0,true,/home/user/shape-discovery-survey/work/cckg/data.nt
data,extractSHACLShapes-Time.For.Pruning.Only,0,0,27,0,true,/home/user/shape-discovery-survey/work/cckg/data.nt
data,extractSHACLShapes,5,0,32,0,true,/home/user/shape-discovery-survey/work/cckg/data.nt
