DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
data, > 1.0%, > 1.0,166,1,1,40,1,870,1,1,88,1,1,9.886363636363636363636364,1,62,1,186,1,
data, > 10.0%, > 100,54,1,1,8,1,290,1,1,45,1,1,6.444444444444444444444444,1,10,1,45,1,
