DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
data, > 1.0%, > 1.0,198,1,1,38,1,1202,1,1,91,1,1,13.208791208791208791208791,1,75,1,201,1,
data, > 10.0%, > 100,86,1,1,8,1,444,1,1,47,1,1,9.446808510638297872340426,1,14,1,44,1,
