DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
data, > 1.0%, > 1.0,17,1,1,5,1,34,1,1,8,1,1,4.25,1,7,1,15,2,
data, > 10.0%, > 100,0,-999,0,0,-999,0,-999,0,0,0,-999,0,-999,-999,-999,0,-999,
