DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
data, > 1.0%, > 1.0,125,1,1,80,1,375,1,1,59,1,1,6.355932203389830508474576,1,15,1,97,1,
data, > 10.0%, > 100,26,1,1,33,1,124,1,1,21,1,1,5.904761904761904761904762,1,9,1,26,3,
